Chi_tieu,Gia_tri,Don_vi
Doanh thu ban hang va cung cap dich vu,4275000000.5,Nghin dong
Cac khoan giam tru doanh thu,75500000.25,Nghin dong
Doanh thu thuan,4199500000.25,Nghin dong
Gia von hang ban,-3265000000.5,Nghin dong
Loi nhuan gop,934499999.75,Nghin dong
Chi phi tai chinh,-128500000.25,Nghin dong
Chi phi ban hang,-215000000,Nghin dong
Chi phi quan ly doanh nghiep,-186000000.5,Nghin dong
Loi nhuan truoc thue,449999999,Nghin dong
Loi nhuan sau thue,359999999.25,Nghin dong
Lai co ban tren co phieu,2450,VND/co phieu

Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,5454933422063,VND
2. Các khoản giảm trừ doanh thu,-3339196187,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,5451594225876,VND
4. Giá vốn hàng bán và dịch vụ cung cấp,-4839338314032,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,612255911844,VND
6. Doanh thu hoạt động tài chính,99822565519,VND
7. Chi phí tài chính Trong đó: Chi phí lãi vay (không bao gồm chi phí phát hành trái phiếu),-320169911729,VND
7. Chi phí tài chính Trong đó: Chi phí lãi vay (không bao gồm chi phí phát hành trái phiếu),-108900521871,VND
8. Chi phí bán hàng,-259977057417,VND
9. Chi phí quản lý doanh nghiệp,-67172584370,VND
10. Lợi nhuận thuần từ hoạt động kinh doanh,64758923847,VND
11. Thu nhập khác,3522562771,VND
12. Chi phí khác,-258584573,VND
13. Lợi nhuận/(lỗ) khác,3263978198,VND
14. Tổng lợi nhuận kế toán trước thuế,68022902045,VND
15. Chi phí thuế TNDN hiện hành,-36636858411,VND
16. Thu nhập thuế TNDN hoãn lại,2454930718,VND
17. Lợi nhuận sau thuế TNDN,33840974352,VND
